POST /api/user/login 62ms 
GET /api/user/getUserInfo 10ms 
GET /api/user/getUserInfo 3ms 
GET /api/user/getUserInfo 1ms 
GET /api/user/getUserInfo 1ms 
GET /api/user/getUserInfo 2ms 
GET /api/user/getUserInfo 232ms 
GET /api/user/getUserInfo 198ms 
GET /api/user/getUserInfo 3ms 
GET /api/user/getUserInfo 84ms 
GET /api/user/getUserInfo 378ms 
GET /api/user/getUserInfo 3ms 
GET /api/user/getUserInfo 2ms 
GET /api/user/getUserInfo 2ms 
GET /api/user/getUserInfo 1ms 
GET /api/user/getUserInfo 2ms 
GET /api/user/getUserInfo 2ms 
GET /api/user/getUserInfo 1ms 
GET /api/user/getUserInfo 1ms 
GET /api/user/getUserInfo 1ms 
GET /api/user/getUserInfo 1ms 
GET /api/user/getUserInfo 1ms 
GET /api/user/getUserInfo 2ms 
GET /api/user/getUserInfo 1ms 
GET /api/user/getUserInfo 2ms 
